Name,Type,Building,Floor,Location Description,Latitude,Longitude,StartingTime,ClosingTime,ImageURL
Anna's x Soup Union,Food,Central Library,1,Next to NUS Co-op,1.296444,103.773032,0900hrs,1800hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/ANNA.jpeg
NUS Co-op,Shopping,Central Library,1,Inside the library on the right side,1.2967866,103.7732677,0900hrs,1600hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/NUS_COOP.jpeg
Printer @ Com 2,Printing,Com 2,1,Next to LT19,1.2938347,103.7744572,0000hrs,2359hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/PRINTER_COM2.jpeg
Cool Spot,Food,Com2,1,Opp LT16,1.2940156,103.7738478,0900hrs,2130hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/COOL_SPOT.jpeg
InstaChef,Food,Terrace,1,Next to foyer,1.2938898,103.7736305,0000hrs,2359hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/INSTACHEF.jpeg
Cafe+ Robot Cafe,Food/Coffee,Central Library,1,Opp to central library entrance,1.296444,103.773032,0000hrs,2359hrs,https://github.com/CS3219-AY2627S1/FoC-Template/blob/main/data/images/ROBOT_CAFE.jpeg
A Hot Hideout,Food,Prince George's Park,2,Near PGP entrance,1.2908445,103.7770891,1100hrs,2130hrs,
Arise and Shine,Food,Engineering Block E4,4,Near LT6,1.2991517,103.769064,0800hrs,1800hrs,
Bakehaus / Aurea,Food,The Ridge,1,Near COM2,1.2946778,103.7707872,0800hrs,2100hrs,
Central Square @ YIH,Food,Yusof Ishak House,1,Closest to Opp UHC bus stop,1.2984401,103.7726256,0800hrs,2000hrs,
Pasta Express,Food,Frontier,1,Aircon section,1.2947819,103.7704435,0930hrs,1930hrs,
TOMORO COFFEE,Food/Coffee,Hon Sui Sen Memorial Library,2,Inside HSSML,1.2931259,103.7719943,0815hrs,1800hrs,
Octobox,Shopping,Prince George’s Park,2,Near PGP entrance,1.2904347,103.7787588,0000hrs,2359hrs,
Smooy,Food,COM3,1,The Terrace @ COM3,1.2948308,103.7716305,1100hrs,2100hrs,
Goh Bros E-Print Pte Ltd,Printing,Yusof Ishak House,5,Take the long staircase up YIH,1.2984905,103.7720544,0900hrs,1800hrs,
Cheers Unmanned Convenience Store,Shopping,Engineering Block E3,4,Take right from Arise n Shine,1.2994341,103.7526298,0000hrs,2359hrs,
Nami,Food,innovation4.0,1,Opp TCOMS,1.2942982,103.7708813,0800hrs,1730hrs,
Supersnacks,Food,Prince George’s Park,1,"At level 1 in Prince George's Park Residences, Block 10",1.2913847,103.7776367,1100hrs,0200hrs,
Good Day Cafe,Food/Coffee,Medicine+Science Library,1,Inside MedScience library ,1.2967989,103.7794336,0730hrs,1830hrs,
The Coffee Roaster,Food/Coffee,Blk AS8,1,Behind central library bus stop,1.296252229,103.7720926,0800hrs,1730hrs,
he by He Brews,Food/Coffee,Engineering Block EA,1,Near LT7 & Engineering Auditorium,1.300566804,103.7707577,0800hrs,1700hrs,
Bistro Box,Food,College of Design and Engineering,,CDE outlet. Hours shown: Mon-Fri during term; weekends and PH closed.,,,0730hrs,2000hrs,
Burnt Cones @ MD11,Food/Coffee,Medicine Block MD11,,Near LT27 and S17 bus stops. Mon-Fri hours shown; Sat 1000-2130.,,,0730hrs,2130hrs,
Burnt Cones @ University Hall,Food/Coffee,University Hall,,Near University Hall bus stop. Mon-Fri; weekends and PH closed.,,,0800hrs,1930hrs,
Cafe Delight,Food,Ventus,,Ventus outlet. Mon-Fri; weekends and PH closed.,,,0800hrs,1700hrs,
Chong Pang Tai Zhi Wei,Food,The Deck,2,Upper level of The Deck. Term Mon-Fri hours shown; Sat 0730-1500. Vacation weekday closing 1800.,,,0730hrs,1600hrs,
CHAGEE,Food,Yusof Ishak House,1,Level 1 near YIH bus stop. Daily. (Coordinates approximate: building-level point.),1.2984401,103.7726256,1030hrs,2030hrs,
Eureka Taste,Food,Medicine Block MD6,,MD6 outlet. Mon-Fri; weekends and PH closed.,,,0700hrs,1900hrs,
Fong Seng Nasi Lemak,Food,The Deck,2,Upper level of The Deck. Term Mon-Fri hours shown; Sat 0800-1400. Closed during vacation.,,,0800hrs,1700hrs,
Li Ji Coffeehouse,Food/Coffee,Frontier,,Inside the air-conditioned food court. Mon-Fri hours shown; Sat 0700-1500; Sun and PH closed.,,,0700hrs,1930hrs,
